Granja,Talla,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026
Anglet_P,b.100 - 200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anglet_P,c.200 - 300,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0
Anglet_P,d.300 - 400,3500,1500,2500,2500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0
Anglet_P,e.400 - 500,4000,2000,3500,3500,4000,4000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0
Anglet_P,f.500 - 600,9000,13000,7500,7500,5000,5000,7500,7500,7500,7500,7500,7500,7500,7500,0,0,0,0
Anglet_P,g.600 - 800,14500,15500,20000,8500,12500,12500,11000,11000,11000,11000,11000,11000,11000,11000,0,0,0,0
Anglet_P,h.800 - 10000,1200,2000,1000,6450,3790,3790,3950,3950,3950,3950,3950,3950,3950,3950,1000,1000,1000,1000
Cervo Sole,b.100 - 200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cervo Sole,c.200 - 300,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0
Cervo Sole,d.300 - 400,1000,1000,2500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0
Cervo Sole,e.400 - 500,3000,3000,7000,3000,3000,3000,3000,3000,3000,3000,3000,0,0,0,0,0,0,0
Cervo Sole,f.500 - 600,10000,5000,8000,10500,11000,11000,11000,11000,11000,11000,11000,0,0,0,0,0,0,0
Cervo Sole,g.600 - 800,15000,12000,9000,21000,18000,18000,18000,18000,18000,18000,18000,0,0,0,0,0,0,0
Cervo Sole,h.800 - 10000,15000,17000,11000,1000,2500,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0
Couso i+d,b.100 - 200,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Couso i+d,c.200 - 300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Couso i+d,d.300 - 400,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Couso i+d,e.400 - 500,5,1000,5,5,5,5,5,5,5,5,5,1000,1000,1000,1000,0,0,0
Couso i+d,f.500 - 600,2200,1000,600,400,1200,1200,1200,1200,1200,1200,1200,1000,1000,1000,1000,0,0,0
Couso i+d,g.600 - 800,4200,3200,2100,2200,2200,2200,2200,2200,2200,2200,2200,500,500,500,500,0,0,0
Couso i+d,h.800 - 10000,500,752,22,300,300,300,300,300,300,300,300,0,0,0,5,0,0,0
Hafnir_P,b.100 - 200,1000,1000,1000,1000,1000,1000,1000,50,50,50,50,50,50,50,50,50,50,50
Hafnir_P,c.200 - 300,4000,4000,1000,1000,1000,1000,2000,2000,2000,2000,2000,30,30,30,1000,1000,1000,30
Hafnir_P,d.300 - 400,9000,5000,1500,1500,1500,1500,4000,5000,5000,5000,5000,6000,6000,6000,3000,8000,8000,5000
Hafnir_P,e.400 - 500,14000,13000,5000,5000,5000,5000,8000,20000,20000,20000,20000,17000,17000,17000,14000,19000,19000,13000
Hafnir_P,f.500 - 600,14000,14000,8000,8000,10000,10000,9000,4000,4000,4000,4000,15000,15000,15000,13000,16000,16000,15000
Hafnir_P,g.600 - 800,5000,6000,13500,13500,13500,13500,5000,1000,1000,1000,1000,6800,6800,6800,800,3000,3000,3000
Hafnir_P,h.800 - 10000,1000,1000,1000,1000,1000,1000,1000,250,250,250,250,70,70,70,70,70,70,70
Tocha Sole,b.100 - 200,0,0,6,5,5,5,5,5,5,5,5,5,5,5,0,6,6,0
Tocha Sole,c.200 - 300,500,500,500,500,500,500,500,500,500,500,500,500,500,500,377,2020,2020,2000
Tocha Sole,d.300 - 400,2500,2000,8500,5000,5000,5000,5000,5000,5000,5000,5000,1500,1500,1500,9000,9000,9000,5000
Tocha Sole,e.400 - 500,9000,8000,13000,11000,9000,9000,9000,9000,9000,9000,9000,3000,3000,3000,12000,16000,16000,12000
Tocha Sole,f.500 - 600,14000,11500,8000,16000,11500,11500,11500,11500,11500,11500,11500,4000,4000,4000,8000,13000,13000,8000
Tocha Sole,g.600 - 800,15000,9400,3200,4900,5000,5000,5000,5000,5000,5000,5000,18000,18000,18000,6000,7000,7000,6000
Tocha Sole,h.800 - 10000,7000,7000,9000,300,500,500,500,500,500,500,500,16000,16000,16000,768,375,375,430
