"Activar","Granja","Ajuste_por","Talla_Gen_Edad","Mes_inicio","Mes_fin","Ajuste"
TRUE,"SSF_Iberia","Gen","22 3",2023-08-31,2024-11-01,-10
TRUE,"SSF_Iberia","Gen","22 4",2023-08-31,2024-11-01,-5
TRUE,"SSF_Iberia","Gen","22 2",2023-08-31,2024-11-01,-15
TRUE,"SSF_Iberia","Gen","23 4",2023-08-31,2024-11-01,10
TRUE,"SSF_Iberia","Gen","24 1",2023-10-31,2024-11-01,20
TRUE,"SSF_Iberia","Gen","24 2",2023-12-31,2024-11-01,30
TRUE,"SSF_Iberia","Gen","24 3",2023-12-31,2024-11-01,40
TRUE,"SSF_Iberia","Gen","23 1",2024-07-01,2024-11-01,-60
TRUE,"SSF_Iberia","Gen","23 2",2024-09-01,2024-11-01,-60
TRUE,"SSF_Iberia","Gen","23 3",2024-10-01,2025-04-30,-40
TRUE,"SSF_Iberia","Gen","23 4",2024-10-01,2025-04-30,-40
TRUE,"SSF_Iberia","Gen","24 1",2024-10-01,2025-05-01,-20
TRUE,"SSF_Iberia","Gen","24 2",2024-11-01,2025-05-01,-15
FALSE,"SSF_Iberia","Gen","",2024-07-31,2024-07-31,0
